Timestamp,Price,Book Size,Gap,Volatility,Queue Size,marketmaker Cash,testagent1 Cash,testagent2 Cash,testagent3 Cash,testagent4 Cash,testagent5 Cash,marketmaker Shares,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares,marketmaker Orders/Sent,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,marketmaker Orders/Matched,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,marketmaker Orders/Canceled,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
203.34611280130315,100,52,-1,0.0,0.0,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
216.64646686364472,100,57,-1,0.0,0.0,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0
217.64646686364472,100,69,-1,0.0,0.19120664254668895,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,0,0,0,5,52,12,0,0,0,0,0,0,0,0,0,0,0,0
20000,98.2,65,0.11499999999999488,0.7794228634059934,0,999994893.6,10000000,10000000,10000000,10005106.4,10000000,152,10000,10000,10000,9948,10000,100,0,0,5,52,12,52,0,0,0,52,0,0,0,0,0,0,0
20001,98.2,165,0.009999999999990905,0.8818163074019427,1,999994893.6,10000000,10000000,10000000,10005106.4,10000000,152,10000,10000,10000,9948,10000,200,0,0,5,52,12,52,0,0,0,52,0,0,0,0,0,0,0
20002,98.2,166,0.0049999999999954525,0.8999999999999986,2,999994893.6,10000000,10000000,10000000,10005106.4,10000000,152,10000,10000,10000,9948,10000,201,0,0,5,52,12,52,0,0,0,52,0,0,0,0,0,0,0
20003,99.6,165,0.009999999999990905,0.8514093957572176,3,999994893.6,10000000,10000000,10000000,10005106.4,10000000,152,10000,10000,10000,9948,10000,202,0,0,5,52,12,54,0,0,0,52,0,0,0,0,0,0,0
20171.73430411392,99.595,118,0.009999999999990905,0.8086463901947483,0.0,999990710.61,10000000,10004182.99,10000000,10005106.4,10000000,194,10000,9958,10000,9948,10000,202,0,42,5,52,12,96,0,42,0,52,0,0,0,0,5,0,0
20176.405389193318,99.60499999999999,26,0.009999999999990905,0.7717260596293919,0.0,999999874.27,10000000,10004182.99,9990836.34,10005106.4,10000000,102,10000,9958,10092,9948,10000,202,0,42,97,52,12,188,0,42,92,52,0,0,0,0,5,0,0
20192.756540548413,99.60499999999999,71,0.009999999999990905,0.7391260041427283,0.0,999999874.27,10000000,10004182.99,9990836.34,10005106.4,10000000,102,10000,9958,10092,9948,10000,202,0,42,97,52,57,188,0,42,92,52,0,0,0,0,5,0,0
20356.99666666836,99.60499999999999,114,0.009999999999990905,0.6787476979703085,1.4892937152835657,999999874.27,10000000,10004182.99,9990836.34,10005106.4,10000000,102,10000,9958,10092,9948,10000,202,0,42,97,52,112,188,0,42,92,52,0,0,0,0,5,0,12
20357.99666666836,99.60499999999999,192,0.009999999999990905,0.6611521929345886,1.203010903125687,999999874.27,10000000,10004182.99,9990836.34,10005106.4,10000000,102,10000,9958,10092,9948,10000,202,0,42,97,52,190,188,0,42,92,52,0,0,0,0,5,0,12
20397.720777306335,99.60499999999999,230,0.009999999999990905,0.642877126673514,0.0,999999874.27,10000000,10004182.99,9990836.34,10005106.4,10000000,102,10000,9958,10092,9948,10000,202,38,42,97,52,190,188,0,42,92,52,0,0,0,0,5,0,12
40002,99.60499999999999,217,0.5099999999999909,0.4409718503935404,2,999999874.27,10000000,10004182.99,9990836.34,10005106.4,10000000,102,10000,9958,10092,9948,10000,203,38,42,97,52,190,188,0,42,92,52,0,14,0,0,5,0,12
40003,99.5,216,0.20999999999999375,0.03257470047615047,3,999999973.77,9999900.5,10004182.99,9990836.34,10005106.4,10000000,101,10001,9958,10092,9948,10000,204,38,42,97,52,190,189,1,42,92,52,0,14,0,0,5,0,12
40004,99.5,316,0.20999999999999375,0.04316920484457923,4,999999973.77,9999900.5,10004182.99,9990836.34,10005106.4,10000000,101,10001,9958,10092,9948,10000,304,38,42,97,52,190,189,1,42,92,52,0,14,0,0,5,0,12
40005,99.5,342,0.0049999999999954525,0.04755260245243783,5,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,404,38,42,97,52,190,226,38,42,92,52,0,14,0,0,5,0,12
40175.78578493689,99.5,404,0.0049999999999954525,0.05143928459844173,0.12118292893865146,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,404,38,42,159,52,190,226,38,42,92,52,0,14,0,0,5,0,12
40177.78578493689,99.5,411,0.0049999999999954525,0.052499999999994884,1.1942291332015884,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,404,38,42,159,59,190,226,38,42,92,52,0,14,0,0,5,0,12
40234.46964920054,99.5,293,0.0049999999999954525,0.05143928459844173,0.0,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,404,98,42,159,59,190,226,38,42,92,52,0,14,0,0,5,0,190
60002,99.2,129,2.3500000000000085,0.10969951857232316,2,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,405,98,42,159,59,190,228,38,42,92,52,0,177,0,0,5,0,190
