Timestamp,Price,Book Size,Gap,Volatility,Queue Size,Cash/testagent1,Cash/testagent2,Cash/testagent3,Cash/testagent4,Cash/testagent5,Shares/testagent1,Shares/testagent2,Shares/testagent3,Shares/testagent4,Shares/testagent5,Net Worth/testagent1,Net Worth/testagent2,Net Worth/testagent3,Net Worth/testagent4,Net Worth/testagent5,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
176.53035275168486,100,5,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
186.99342501732514,100,19,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0
213.03667665007757,100,107,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,0,0,14,5,88,0,0,0,0,0,0,0,0,0,0
377.8184981760741,100,183,0.75,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,0,0,14,81,88,0,0,0,0,0,0,0,0,0,0
417.22371831628067,101.01,96,0.75,0.4040000000000021,0.0,10008787.87,10000000,10000000,10000000,9991212.13,9913,10000,10000,10000,10087,11010100.0,11010100.0,11010100.0,11010100.0,11010100.0,87,0,14,81,88,87,0,0,0,87,0,0,0,0,0
658.7389316248881,101.01,133,0.75,0.47611856599894437,0.0,10008787.87,10000000,10000000,10000000,9991212.13,9913,10000,10000,10000,10087,11010100.0,11010100.0,11010100.0,11010100.0,11010100.0,124,0,14,81,88,87,0,0,0,87,0,0,0,0,0
661.4404962678952,101.01,224,0.75,0.49982037589845,0.0,10008787.87,10000000,10000000,10000000,9991212.13,9913,10000,10000,10000,10087,11010100.0,11010100.0,11010100.0,11010100.0,11010100.0,124,0,14,172,88,87,0,0,0,87,0,0,0,0,0
867.4006579399907,101.01,289,0.23000000000000398,0.5050000000000026,0.0,10008787.87,10000000,10000000,10000000,9991212.13,9913,10000,10000,10000,10087,11010100.0,11010100.0,11010100.0,11010100.0,11010100.0,204,0,14,172,88,87,0,0,0,87,0,0,14,0,1
1346.9037558290615,101.09,3,-1,0.5103811212112879,0.0,10016875.069999998,9991912.8,10000000,10000000,9991212.13,9833,10080,10000,10000,10087,11010893.04,11010900.0,11010900.0,11010900.0,11010906.96,204,83,14,172,88,167,80,0,0,87,37,0,14,172,1
1388.8245150995583,102.03,1,-1,0.6529042808865644,0.0,10016875.069999998,9991708.74,10000204.06,10000000,9991212.13,9833,10082,9998,10000,10087,11020136.059999999,11020375.2,11020300.0,11020300.0,11020388.74,204,83,16,172,88,167,82,2,0,87,37,0,14,172,1
1520.0338951836918,102.03,34,-1,0.7281653612940066,0.0,10016875.069999998,9991606.71,10000306.09,10000000,9991212.13,9833,10083,9997,10000,10087,11020136.059999999,11020375.200000001,11020300.0,11020300.0,11020388.74,204,83,51,172,88,167,83,3,0,87,37,0,14,172,1
1608.0209642466948,99.98,34,-1,0.736166402535611,0.0,10016875.069999998,9988207.39,10003705.41,10000000,9991212.13,9833,10117,9963,10000,10087,10999978.409999998,10999705.05,10999806.15,10999800.0,10999710.39,204,151,51,172,88,167,117,37,0,87,37,0,14,172,1
1622.2946330054488,99.98,110,2.5700000000000074,0.7375065940934776,0.0,10016875.069999998,9988207.39,10003705.41,10000000,9991212.13,9833,10117,9963,10000,10087,10999978.409999998,10999705.05,10999806.15,10999800.0,10999710.39,204,227,51,172,88,167,117,37,0,87,37,0,14,172,1
1706.7267151599635,101.02,135,-1,0.715328167874789,0.0,10016875.069999998,9984772.71,10003705.41,10000000,9994646.81,9833,10151,9963,10000,10053,11010204.729999999,11010226.73,11010167.67,11010200.0,11010200.870000001,204,227,51,172,181,167,151,37,0,121,37,0,14,172,1
1716.6683823813585,99.98,107,-1,0.7157156480676451,0.0,10016875.069999998,9984772.71,10003705.41,9997200.56,9997446.25,9833,10151,9963,10028,10025,10999978.409999998,10999669.690000001,10999806.15,10999800.0,10999745.75,204,227,51,200,181,167,151,37,28,149,37,0,14,172,1
1735.523207902267,99.98,150,-1,0.7132120893359843,0.0,10016875.069999998,9984772.71,10003705.41,9997200.56,9997446.25,9833,10151,9963,10028,10025,10999978.409999998,10999669.690000001,10999806.15,10999800.0,10999745.75,247,227,51,200,181,167,151,37,28,149,37,0,14,172,1
1778.2160833003782,99.98,168,-1,0.7087778847885972,0.0,10016875.069999998,9984772.71,10003705.41,9997200.56,9997446.25,9833,10151,9963,10028,10025,10999978.409999998,10999669.690000001,10999806.15,10999800.0,10999745.75,247,227,69,200,181,167,151,37,28,149,37,0,14,172,1
1827.685530749816,98.28,195,0.6400000000000006,0.8692406576936301,0.0,10016875.069999998,9984772.71,10005474.45,9995431.520000001,9997446.25,9833,10151,9945,10046,10025,10983262.309999999,10982412.99,10982869.049999999,10982752.400000002,10982703.25,247,227,69,263,181,167,151,55,46,149,37,0,14,172,1
